id,degree,in_degree,out_degree,pagerank,community
0x8875844dd12a6ddad0307ecf7b120bca1df19845,2,1,1,2.056941202796189e-05,1
0x8b3177a76361e35c21eae8c391d79acdf90bbeb1,3,1,2,2.5096330239829967e-05,3
0x8f5957cc84d6429b8cfb14c3d138b2d98c56d107,2,1,1,3.170576672984817e-05,1
0x9248a915b377a4477da047ae90d695f2fcebbbfd,5,1,4,2.4133156152198462e-05,0
0x9352ad36128b1946ce5b51280ea3255327165c2f,3,1,2,2.4133156152198462e-05,0
0x9673b849103470a3f58f284ba29e44ac1226a35c,2,1,1,2.9912200677987493e-05,0
0x98036d0c23831c17edb538e5ce507bf9e19fc73e,2,1,1,2.0417783865629457e-05,1
0x9805c014036243aa9964c82f00bd3a1374e2ee2f,3,2,1,4.040805781619547e-05,0
0x9d6c85e996e4a8df188477960dc919fd84a118c7,3,1,2,2.1407373484201303e-05,0
0x9efc62c76e7273b796b8638bbb582d09afee3866,3,1,2,3.562286131268946e-05,0
0xacd0fa618b9681248cdc4eec93f3c06ee32548dd,3,1,2,7.922671396472059e-05,0
0xb638febc7f5c4cf75ff4ee2827c9820a857bf2eb,1,1,0,2.5223294655271447e-05,0
0xbb83e09e6540aa4bee15815eb2329369d1d98826,3,2,1,0.00013292226239506593,3
0xbfff16a8181e6f0bfea125acde57c0bbf57b893d,3,2,1,7.957502655868615e-05,3
0xc446569e98466813d4a49cead6d9377215f6e244,4,2,2,2.065589797546961e-05,4
0xc91b4e73d388a7a1978549a579e0e16a31787a40,3,2,1,2.9207497367307353e-05,2
0xcae1061a7dff2607aa3d22048ff1b7f42a009321,2,1,1,4.917568243061762e-05,1
0xcb7311096345d5ff480d04ca31563fe470b72000,2,1,1,2.0386408951311906e-05,1
0xcdb40b7df265d82c56fcfbd94527d3f4bdefb5f9,2,2,0,2.480726000294833e-05,1
0xcdf04b9c437dd8007d8877befa566255794b0d6a,3,1,2,2.2736553725132777e-05,1
0xce78d617f3b88f2ce68b7c6439fb64c716198799,3,1,2,2.5096330239829967e-05,0
0xd08bf6983eeb7db88030d4b92da7f34921d7bc5f,3,1,2,2.3169982064566958e-05,0
0xd592fc5e544600df0c21d6b40d7d7e5824c1f668,2,1,1,2.319391617010533e-05,0
0xd709e10cbcb3e2bfba8076de04d38a3f47a752de,1,1,0,2.0283349323935333e-05,0
0xd7f4fea159746828b5bd823c7080169f0d697960,3,1,2,2.0954681663014493e-05,1
0xd8e79a6d94d45f96035e496b92150eea60622958,3,1,2,2.2256952457333494e-05,0
0xd9741bdf05e44fa867b21893802a2eeaa6388f48,3,1,2,4.339663790482858e-05,0
0xda7c7051c9ebead63eb998db8fe52486e52ac9ed,3,1,2,2.1339951298067094e-05,0
0xdcd304711ad64007cba316f0a4c39c824e3c6ea1,3,1,2,2.2688395020751203e-05,1
0xdeffe0c19af1a31be5aa32aad99f136f9395c883,3,1,2,2.2154788196588785e-05,0
0xe75e5dc337c03b190665e989a2acf5244409372c,3,2,1,2.89185451410179e-05,2
0xedbe8b10ee1e08e0b553eac4d00cdcf02e6fa378,2,2,0,2.148758880959378e-05,1
0xeddcddfd76932e3c67deafee0638a76ebf7da2aa,3,1,2,2.1055651106303497e-05,0
0xf1c7be41f02799cff754a6eacd03ef17ae0ad192,6,4,2,6.517456431208213e-05,5
0xf327ed0f4a4585363ee4bebb27c20acaf0055027,3,1,2,2.4614743196014216e-05,1
0xf59fbb35052da7b849c331328fc791c588e495be,3,2,1,3.276198326057332e-05,1
0xfc92f989d0882acdb4c9f263d6283064be2fcf50,5,3,2,2.504303359605973e-05,1
0xfc97b08392c3096487fca6cff02290af7d73f98f,4,1,3,2.4682165382148418e-05,1
0xfdc3535e25ce1fcbee740d923c70db5216143605,2,1,1,0.00014956221379446285,0
0xfe61523a115441e781bc27e2ba39aa8197ef8c0e,1,1,0,2.0860231414482656e-05,0
0x00000000000ba9cd9f5175108141a82b6c24d727,13,7,6,4.3197032692393396e-05,6
0x40c9e6435e11f6851a7079e961a5a30d07f20f8c,1,1,0,2.3864114301291343e-05,6
0x4c05dfb04fe60653f747c2debbe47cb2de2a40a2,5,2,3,3.66505493841437e-05,3
0x58e327d64fc77fa36f698989623c3e4f058c8a89,1,1,0,2.0450128457441206e-05,6
0xbb98b3d2b18aef63a3178023a920971cf5f29be4,505,229,276,0.0015979549233812657,7
0xe135083762461646099a8997b9901a298b12f243,1,1,0,2.3661265933388384e-05,6
0xff69201019e25e3f8f3180fabdb58d60afed9a1d,119,57,62,0.0007660573720304222,6
0x00000000009726632680fb29d3f7a9734e3010e2,23,9,14,8.688523146762135e-05,1
0x10d6d2e343281d388291a3e02f3293aaeda67178,1,1,0,4.6021302961839e-05,1
0x30af6bcfd680f01df88bf267af097bd84ef7e0c5,1,1,0,2.9017655910819633e-05,1
0x395012df0d443a7639e46fcb0daf756a9bbf3c6c,2,1,1,2.0759447268304596e-05,1
0x3a23f943181408eac424116af7b7790c94cb97a5,131,89,42,0.00490112976389628,1
0x62d148c709894e0c374c0bc8fdd8f7cb87b3ae71,1,1,0,2.0400016603912182e-05,1
0x68c0dd2b5a5df00bca4f7df8ca9b1425fe817728,1,1,0,2.071346538382126e-05,1
0x86f1d8390222a3691c28938ec7404a1661e618e0,1034,539,495,0.01581699368772437,7
0xbefc0e17d9415cf1c2e6853d267e41d9b2fd30b5,3,1,2,3.116481124434399e-05,1
0xc9583b81454f71ee25e170c18a75482388a88b6d,2,1,1,2.0284950256252887e-05,1
0xcb3a9f0a2fd6c642f079f4b0bc6e417b9bd3640f,2,1,1,2.1236242976420205e-05,1
0xe1118a0979894babb95c6e29919828ac6e77c82a,1,1,0,2.2644856704712496e-05,1
0xe37e799d5077682fa0a244d46e5649f71457bd09,433,276,157,0.008546214227435142,1
0xe605c9d0e80da18964f83799705711a50ec82f75,1,1,0,2.0447381915641188e-05,1
0xfac219be81d0236e4167163111298934b53a6d95,1,1,0,2.0373517298307207e-05,1
0x0000000000b63374f46cef2289136ea3ba33d0b0,97,47,50,0.0002521796640562394,8
0x0319000133d3ada02600f0875d2cf03d442c3367,54,12,42,0.00022871219857663894,7
0x0e44ceb592acfc5d3f09d996302eb4c499ff8c10,168,87,81,0.000962586201311267,7
0x10f4a785f458bc144e3706575924889954946639,122,37,85,0.0017535782268017254,2
0x1274de0de2e9d9b1d0e06313c0e5edd01cc335ef,68,36,32,3.726364634275444e-05,6
0x1337c207535db756e5cd939dc184ccc3178f45c7,2,1,1,2.0435410908494652e-05,8
0x167384319b41f7094e62f7506409eb38079abff8,210,131,79,0.0018615311904586285,7
0x19c5505638383337d2972ce68b493ad78e315147,181,81,100,0.0010855131195976505,0
0x1a34eabbe928bf431b679959379b2225d60d9cda,364,120,244,0.0017567577930000535,7
0x1b0585fc8195fc04a46a365e670024dfb63a960c,141,52,89,0.0002204796378904454,7
0x1c37dedf00d12ccc176c8339db45fc03cef47167,4,2,2,2.1308764874237592e-05,2
0x1d608df1bcad4681f1b929110710eb936d7354e5,33,18,15,2.2020001667672242e-05,7
0x25fb97799f80433e422f47e75173314e54dae174,160,64,96,0.00021982634841119058,10
0x2813d43463c374a680f235c428fb1d7f08de0b69,110,58,52,0.00011203751587033325,0
0x2aa5308573c3b4c0a5032b64cf7e593610a4de43,41,22,19,2.477694340992462e-05,7
0x2af65c6744d0edb1539ebf177f6e48b35001b44b,35,18,17,5.424986523635439e-05,7
0x370404a2a57edfbeaf16dc8ef8e2d1b0a2a9da15,90,43,47,0.0005709856084010632,6
0x3e31ab7f37c048fc6574189135d108df80f0ea26,336,136,200,0.0031257174687008425,0
0x426a2c62bf87d377d7d2efa13da2556109dfd098,20,11,9,2.6252120640840896e-05,7
0x45dda9cb7c25131df268515131f647d726f50608,1167,534,633,0.022290054362954222,7
0x4642dafc5281ba5a8d35b2896e0d925b23c6883c,47,20,27,2.327154948889351e-05,7
0x464479e8081320060c986d4a2e0fb889e55df704,4,2,2,4.6416103208050014e-05,7
0x479e1b71a702a595e19b6d5932cd5c863ab57ee0,267,115,152,0.007222859022589869,11
0x50eaedb835021e4a108b7290636d62e9765cc6d7,909,394,515,0.022615272121670763,12
0x55caabb0d2b704fd0ef8192a7e35d8837e678207,271,121,150,0.015983118759945934,8
0x58bbc687ad7113e46d35314776fad9c4b73e200c,5,4,1,2.0308788540189765e-05,13
0x5ea7221ccdfc799425bea73a882c7472db93ff4f,30,17,13,4.1716196845997244e-05,7
0x60e70705b52a4a5bdc1d8614426ba5016a68ab38,31,19,12,2.417711569645152e-05,0
0x72789127a90c1f2d32586c79d8c1f26c0cb581eb,20,7,13,3.292290857402965e-05,5
0x7d87b3de1ade4427b800cc560c567eed3795f51a,35,18,17,2.5453872526115163e-05,7
0x853ee4b2a13f8a742d64c8f088be7ba2131f670d,514,144,370,0.004915426141364008,3
0x95697b1b83e0f28017158bf2a2adc6ba991088ec,72,36,36,5.69441394574819e-05,7
0x9ceff2f5138fc59eb925d270b8a7a9c02a1810f2,237,109,128,0.007790134476907814,14
0xa212e00ee14840a4c0f63d31ab2bf506dca8f72f,18,9,9,2.8671494148745242e-05,7
0xa4d8c89f0c20efbe54cba9e7e7a7e509056228d9,969,462,507,0.027955646020166595,7
0xa6aedf7c4ed6e821e67a6bfd56fd1702ad9a9719,219,91,128,0.01130939871276273,15
0xa800982b16f3af9034c855e15adb48276671e32e,22,10,12,2.0628564360202613e-05,7
0xaa5ee78cf79c0ed939fcaaf7edf94ced176a2f2b,205,122,83,0.000418455445080454,3
0xab52931301078e2405c3a3ebb86e11ad0dfd2cfd,133,65,68,0.002506022445558095,16
0xac4494e30a85369e332bdb5230d6d694d4259dbc,225,103,122,0.007878404028713658,12
0xb5846453b67d0b4b4ce655930cf6e4129f4416d7,61,30,31,2.7293298498463717e-05,0
0xb5a1fd804342cfb679bd8ada75718bc3ec43097e,85,36,49,0.0003730279274883313,7
0xba12222222228d8ba445958a75a0704d566bf2c8,361,118,243,0.00530938812855502,2
0xbe064ff4fb4995ccce5dcffd9760c57d1caffef7,185,90,95,0.002332229688092521,7
0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9,197,89,108,0.00023434346358895702,7
0xcc203f45a31ae086218170f6a9e9623fa1655486,15,11,4,2.091195940822612e-05,7
0xce0bbb1e51ee21cde86257593f29cbd9a60ca97a,43,20,23,4.2467914187388806e-05,7
